PCA 1,PCA 2,PCA 3,PCA 4,PCA 5,PCA 6,PCA 7,PCA 8,PCA 9,PCA 10,PCA 11,PCA 12,PCA 13,PCA 14,PCA 15,PCA 16,PCA 17,PCA 18,PCA 19,PCA 20,PCA 21,PCA 22,PCA 23,PCA 24,PCA 25,PCA 26,PCA 27,PCA 28,PCA 29,PCA 30,PCA 31,PCA 32,PCA 33,PCA 34,PCA 35,PCA 36,PCA 37,PCA 38,PCA 39,PCA 40
-60601787.19519472,501809291.62043047,118425599.47002017,-67213393.83721773,-97804836.16824007,-122284955.0884856,215360029.22320879,365233108.5203258,59865850.38355575,128609151.48456739,-92940671.9886969,-1909319.7306614679,-1904899.3038113238,-93346319.79650158,114625914.10980932,-25827408.82602157,32599144.872781828,-75031928.3181597,140524212.15438518,117567659.03047793,-132331290.94416837,1489281512.8189442,136273112.27646834,-430840843.84216213,536388.5915170452,-98500379.19822879,79340765.12895492,58410552.54704203,74026542.36039259,139668.22627465785,-117962956.92556149,-245857700.86785266,-65485820.947460674,112027997.32183604,207803774.1240009,464505896.02337795,29750343.2915713,47194277.461237125,74906608.7287876,-74772674.2818096
-62118358.612502106,514306328.0283083,121335418.51738283,-68882632.56600125,-100237408.06977941,-125346518.59536177,220733844.36969376,374320563.1322766,61361656.62895861,131812332.93362096,-95267342.32543159,-1956312.762974657,-1951784.6524201308,-95670795.2993898,117480009.95324276,-26472244.08181786,33403355.958499208,-76920808.5280206,144021042.39322564,120537639.39923774,-135629554.8770462,1526369428.046137,139661911.1414233,-441559664.8554469,552915.2193718837,-100957620.13113531,81336561.47527938,59867951.88199063,75859466.44083954,157310.58340599504,-120902019.6187899,-251985577.00515255,-67128274.42556348,114791406.20494804,212985030.73333567,476071602.72149235,30510405.151075024,48368905.45510982,76763674.17809637,-76635675.69249651
-62805194.05779976,519992613.2924119,122676442.42537309,-69644174.44653665,-101345606.45830703,-126732447.26593402,223174366.30447665,378459063.2982884,62040185.57773705,133269480.71350193,-96320963.94831303,-1977884.0403668352,-1973305.8922447416,-96728580.21621257,118778882.16611826,-26764966.139414456,33772614.537484944,-77771423.32044095,145613320.98159885,121870818.92951523,-137129150.39682955,1543245088.6958487,141205988.9207764,-446441490.38455695,558949.1725779203,-102073827.59238201,82236043.3774418,60529908.32307645,76698069.95699134,159256.8200720966,-122238775.87713683,-254771695.74770594,-67870697.55248699,116060396.24859667,215339879.5886157,481335118.28691876,30847953.999784373,48903661.67452145,77612289.31384075,-77483006.1101255
-65389506.78084173,541390933.3296796,127725495.08857037,-72510218.97355266,-105516150.18214197,-131947187.67811795,232357964.06039956,394033296.1979155,64593159.033659674,138753473.69580752,-100284619.92033233,-2059236.5980149282,-2054470.002578727,-100709119.35918425,123666778.60985956,-27866363.277203064,35162584.13514009,-80971332.06879605,151605519.94135085,126885094.19861785,-142772137.05009657,1606751281.9045112,147016886.30940127,-464813281.723188,581769.7437662192,-106274151.42854889,85619726.7999283,63020743.264283635,79854509.60950397,165567.05426659487,-127269046.25191301,-265255802.61154553,-70663531.02918097,120837094.81259553,224201220.9246287,501142665.93106,32116995.61476496,50916107.02118911,80806293.6326844,-80671523.03636944
-72094047.353114,596906818.0001668,140826316.7061844,-79946049.81459448,-116336359.60117172,-145475902.54938433,256183651.00456142,434439430.4858475,71216354.51299052,152981455.72507268,-110567212.82448998,-2270397.32994421,-2265141.738078293,-111036199.71560144,136347993.78531528,-30723738.094846614,38768970.590152964,-89272525.38742276,167151836.1373359,139892547.56629595,-157412193.14899454,1771512341.4982677,162092886.71964324,-512477590.3557006,641032.1192777687,-117171401.38899584,94397650.4480428,69482853.39209929,88043982.23154746,181333.28564428855,-140319508.56073338,-292455537.0796437,-77908670.12125644,133230577.52053165,247190929.46602085,552531553.72564,35408676.69717586,56137243.62527186,89093160.95944905,-88943766.84620269
-75401174.77027416,624290672.8741355,147288249.97123328,-83613848.48948517,-121673560.59166224,-152149145.75200284,267936009.3156859,454370191.9269,74483351.8812328,159999517.3060862,-115639329.4940011,-2374537.3326467886,-2369040.546860679,-116130157.18149723,142603150.00357518,-32133194.138448805,40547852.35308674,-93367258.54061338,174820224.3658525,146308832.83432734,-164633573.5577766,1852782583.4239397,169529281.23940903,-535988491.8809265,670253.7079871533,-122546581.51075606,98727489.37303108,72670379.31179735,92083477.14549926,189187.58134309266,-146756804.585711,-305872149.2138824,-81482494.30580726,139343720.93836775,258530884.2062001,577879725.1751407,37032428.212286524,58712628.960743405,93180704.93284513,-93024158.11966969
-78437191.67057948,649429942.125437,153220686.27793014,-86981024.21676056,-126573280.37150808,-158275344.56025982,278724998.803859,472667307.96409154,77482538.84371133,166442361.82050574,-120295620.85681637,-2470153.9336119806,-2464435.715508925,-120806579.4667861,148345577.33992133,-33427097.908482473,42180932.58897766,-97126291.02689832,181860065.36751878,152199009.22295246,-171263045.44529358,1927391362.3953652,176356149.00932932,-557572325.1764747,697077.9974958204,-127481183.61279753,102702393.81387214,75596623.39196669,95791915.91338235,196336.17500903129,-152666458.65256518,-318189014.7813481,-84763327.30194749,144955872.21497086,268941320.6351469,601150164.4822655,38523007.027082324,61076915.66277001,96933250.19760185,-96770079.61392218
-84599511.90433283,700456657.944105,165262657.3199155,-93815628.95289406,-136518585.26812023,-170709938.85054606,300623974.55259824,509806192.6224956,83570086.62438832,179519906.75118563,-129746505.80670774,-2664266.84527294,-2658099.142348634,-130298563.67784104,160001369.81503794,-36053390.141735375,45495784.00157827,-104755988.45518775,196149309.32847464,164154107.92311755,-184719222.00904936,2078829498.6802065,190213127.07395712,-601382518.7909771,751558.273074168,-137497216.7245462,110770266.09914337,81536147.58589537,103319300.25427826,210625.84683997396,-164661591.1840576,-343189221.4635866,-91422406.66494545,156347467.35013583,290071949.9502541,648383648.2474233,41548267.54779081,65875868.65120649,104550131.29428136,-104373394.76170841
-88810118.04858431,735322420.5356996,173490811.19671074,-98485618.16125162,-143314062.16224924,-179206281.26858574,315587189.19649726,535182614.8188527,87729600.35122748,188455603.9371394,-136204120.2622245,-2796906.4545542286,-2790431.6216869326,-136784305.68521574,167965586.33987364,-37847893.28764924,47760778.241892256,-109969216.01907338,205912923.211213,172322779.61772275,-193913616.85036755,2182304837.569657,199681389.24424368,-631317360.2067337,788785.8930082417,-144341014.57379285,116282887.5918333,85594525.21242057,108462659.17256705,220368.41389117707,-172857686.9163048,-360271463.97524095,-95972433.57623047,164131198.29567093,304510175.0734629,680657554.4029262,43615366.60735865,69154918.2364735,109754634.40121692,-109568614.64643878
-80840692.09917139,669331862.0024256,157917212.27920794,-89646699.42421901,-130452197.87638736,-163125262.3212141,287266234.7929659,487152527.289861,79856894.11836576,171542945.66233495,-123981846.77005899,-2545848.360811008,-2539954.843311318,-124508738.20732592,152891672.54620966,-34451444.15869065,43473777.32737038,-100102164.94435197,187433263.54570588,156862057.7111891,-176511373.2803076,1986456644.215702,181760748.47064945,-574659543.7600712,718311.6201526178,-131387762.9023118,105849261.39721033,77913221.14083427,98727775.92102122,201988.81081464587,-157344926.91364846,-327939887.78836983,-87360645.66764976,149398827.27073476,277182906.9974333,619572593.036566,39703055.25905875,62948636.81163085,99904010.26033117,-99735605.76439342
